date,0x20240325,,,,,,,,,,,,,,end
title,time/0.1s,current,time/0.1s,current,time/0.1s,current,time/0.1s,current,time/0.1s,current,time/0.1s,current,time/0.1s,current,end
level/type,sdp,sdp,cdp/dcp,cdp/dcp,vooc,vooc,svooc,svooc,pd/qc,pd/qc,third-pps,third-pps,third-ufcs,third-ufcs,end
crc32,ef557e13,NA,ef3ba6f1,NA,a4897422,NA,ddc5dc6,NA,49ac0329,NA,3affd30c,NA,3affd30c,NA,end
max_current,250,NA,1100,NA,1800,NA,9100,NA,2000,NA,3000,NA,3000,NA,end
fcc,5072,NA,5230,NA,5222,NA,5198,NA,5162,NA,5110,NA,5110,NA,end
0,3510,248,582,1063,481,1752,99,9275,449,1968,299,2811,299,2811,end
1,3510,248,898,1063,481,1752,99,9275,449,1968,299,2811,299,2811,end
2,3512,246,848,1063,535,1698,99,9270,499,1963,349,2819,349,2819,end
3,3642,249,848,1063,535,1670,99,9269,449,1963,289,2816,289,2816,end
4,3472,247,898,1064,587,1649,99,9266,438,1961,349,2821,349,2821,end
5,3618,244,849,1063,538,1635,99,9265,498,1952,297,2822,297,2822,end
6,3647,244,848,1064,549,1627,99,9261,449,1943,289,2821,289,2821,end
7,3534,246,897,1064,539,1626,99,9249,439,1941,299,2825,299,2825,end
8,3473,246,848,1063,589,1625,50,9251,449,1941,339,2825,339,2825,end
9,3702,244,898,1063,539,1624,145,9254,499,1942,299,2822,299,2822,end
10,3522,245,856,1064,588,1622,89,8616,448,1941,349,2821,349,2821,end
11,3502,247,848,1064,539,1620,99,8613,439,1941,289,2820,289,2820,end
12,3658,245,897,1063,548,1619,99,8610,499,1936,299,2819,299,2819,end
13,3533,243,848,1063,589,1615,99,8606,474,1934,349,2823,349,2823,end
14,3677,244,896,1064,538,1612,99,8608,449,1933,299,2822,299,2822,end
15,3537,242,857,1063,589,1609,99,8605,498,1931,289,2820,289,2820,end
16,3582,242,848,1063,539,1605,149,8604,438,1928,349,2823,349,2823,end
17,3748,240,897,1064,583,1603,92,8599,498,1924,299,2824,299,2824,end
18,3542,240,847,1064,539,1600,149,7343,449,1921,289,2824,289,2824,end
19,3617,239,858,1062,599,1599,89,7337,489,1920,349,2821,349,2821,end
20,3724,241,895,1064,589,1595,149,7340,499,1916,299,2825,299,2825,end
