date,0x20240411,,,,,,,,,,,,,,end
title,time/0.1s,current,time/0.1s,current,time/0.1s,current,time/0.1s,current,time/0.1s,current,time/0.1s,current,time/0.1s,current,end
level/type,sdp,sdp,cdp/dcp,cdp/dcp,vooc,vooc,svooc,svooc,pd/qc,pd/qc,third-pps,third-pps,third-ufcs,third-ufcs,end
crc32,0xf9f1b2f8,NA,0x60bf1dee,NA,0x8da8e968,NA,0xc114d1cf,NA,0xa4555756,NA,0xf5486b3a,NA,0xf5486b3a,NA,end
max_current,250,NA,1100,NA,1650,NA,9100,NA,1760,NA,3000,NA,3000,NA,end
fcc,6048,NA,5980,NA,5962,NA,5914,NA,5840,NA,5852,NA,5852,NA,end
0,3095,293,658,1067,725,1644,213,9115,431,1665,262,2901,262,2901,end
1,3573,289,949,1067,639,1644,149,9122,633,1604,339,2898,339,2898,end
2,3603,286,998,1067,637,1643,149,9123,635,1575,349,2896,349,2896,end
3,3681,282,948,1067,636,1633,99,9126,637,1557,339,2895,339,2895,end
4,3655,279,998,1067,647,1616,89,9125,637,1546,349,2889,349,2889,end
5,3855,277,999,1066,637,1608,99,9126,677,1537,339,2886,339,2886,end
6,3776,274,948,1066,636,1603,149,9128,637,1527,349,2884,349,2884,end
7,3776,272,997,1065,638,1590,99,9126,688,1517,339,2883,339,2883,end
8,3771,272,998,1064,697,1590,99,9129,638,1511,399,2881,399,2881,end
9,3893,272,998,1063,638,1585,149,9129,688,1505,339,2878,339,2878,end
10,3803,271,937,1064,638,1584,99,9129,688,1504,339,2877,339,2877,end
11,3784,270,947,1064,647,1584,99,9128,639,1502,349,2878,349,2878,end
12,3879,269,997,1064,688,1581,134,9022,689,1500,339,2874,339,2874,end
13,3930,269,998,1064,638,1579,99,8518,639,1499,349,2874,349,2874,end
14,3883,268,947,1064,688,1580,149,7303,689,1498,389,2872,389,2872,end
15,3819,269,998,1064,647,1577,149,7302,684,1497,349,2868,349,2868,end
16,3820,269,998,1064,637,1577,149,7302,688,1494,339,2867,339,2867,end
17,3974,268,998,1064,687,1574,149,7301,639,1493,349,2866,349,2866,end
18,3864,267,948,1064,647,1570,149,7302,688,1491,339,2865,339,2865,end
19,3875,267,998,1064,687,1568,90,7300,688,1488,349,2865,349,2865,end
20,3844,266,998,1064,638,1564,149,7302,688,1486,389,2864,389,2864,end
21,4029,266,947,1065,688,1563,149,7302,688,1484,339,2862,339,2862,end
22,3876,267,998,1064,648,1561,149,7302,638,1481,349,2862,349,2862,end
23,3846,267,947,1064,637,1560,148,7302,688,1479,339,2861,339,2861,end
24,3864,267,998,1064,688,1558,149,7098,688,1477,349,2859,349,2859,end
25,4055,265,998,1064,697,1557,149,7096,689,1474,339,2859,339,2859,end
26,3871,267,947,1064,638,1555,99,7096,688,1473,397,2859,397,2859,end
27,3873,265,998,1064,688,1553,189,7097,689,1470,339,2857,339,2857,end
28,3918,265,998,1064,648,1549,99,7098,688,1468,349,2857,349,2857,end
29,3885,264,946,1064,688,1547,149,7098,688,1467,339,2855,339,2855,end
30,4063,264,998,1064,678,1548,149,7098,688,1464,349,2855,349,2855,end
31,3918,263,949,1064,697,1547,149,7098,689,1463,389,2856,389,2856,end
32,3920,263,998,1064,638,1544,149,7097,689,1462,349,2852,349,2852,end
33,3944,262,998,1065,686,1543,139,7098,688,1461,339,2853,339,2853,end
34,4084,261,948,1064,697,1543,142,7097,689,1459,349,2851,349,2851,end
35,3974,261,999,1064,638,1539,199,5985,687,1458,339,2852,339,2852,end
36,3989,261,997,1064,688,1541,149,5985,689,1457,349,2850,349,2850,end
37,3940,261,949,1064,648,1539,199,5985,688,1456,389,2850,389,2850,end
38,4137,260,999,1064,688,1534,149,5984,689,1455,349,2850,349,2850,end
39,3920,260,999,1064,688,1535,189,5985,688,1454,339,2850,339,2850,end
40,4013,259,947,1065,698,1536,150,5984,737,1452,349,2849,349,2849,end
41,3977,260,998,1064,688,1533,199,5984,689,1450,339,2850,339,2850,end
42,4151,258,948,1065,687,1534,149,5984,689,1449,399,2848,399,2848,end
43,3989,259,997,1066,648,1530,199,5985,687,1448,339,2848,339,2848,end
44,4023,258,998,1065,688,1528,149,5982,689,1446,349,2847,349,2847,end
45,4008,257,947,1064,686,1528,189,5984,738,1444,339,2848,339,2848,end
46,4184,257,998,1065,697,1525,149,5983,686,1442,349,2847,349,2847,end
47,4037,257,998,1065,687,1524,199,5985,689,1441,389,2847,389,2847,end
48,4031,256,948,1065,638,1521,149,5984,688,1440,349,2846,349,2846,end
49,4044,256,997,1066,698,1521,196,5984,688,1437,339,2847,339,2847,end
50,4202,255,996,1065,688,1517,149,5683,739,1435,349,2846,349,2846,end
51,4032,255,948,1065,688,1515,190,5683,688,1433,389,2845,389,2845,end
52,4091,255,949,1065,746,1516,199,5684,688,1430,349,2845,349,2845,end
53,4055,254,998,1065,637,1511,150,5683,738,1428,339,2847,339,2847,end
54,4096,253,996,1065,697,1509,199,5683,688,1425,349,2844,349,2844,end
55,4234,253,998,1065,737,1507,199,5684,738,1422,339,2843,339,2843,end
56,4131,253,948,1065,687,1502,139,5684,689,1420,399,2842,399,2842,end
57,4084,252,997,1066,697,1501,199,5684,688,1418,339,2844,339,2844,end
58,4117,252,997,1064,688,1497,199,5683,738,1414,349,2843,349,2843,end
59,4295,250,948,1064,687,1494,149,5683,698,1411,339,2844,339,2844,end
60,4193,249,997,1063,747,1490,199,5685,737,1410,349,2843,349,2843,end
61,4133,249,946,1063,687,1489,149,5684,727,1408,339,2842,339,2842,end
62,4177,248,997,1059,738,1483,189,5683,698,1404,399,2844,399,2844,end
63,4342,247,995,1057,697,1482,195,5481,729,1400,339,2845,339,2845,end
64,4183,247,997,1054,687,1480,199,4978,697,1397,349,2841,349,2841,end
65,4232,247,994,1053,738,1475,198,4977,778,1396,339,2842,339,2842,end
66,4208,245,997,1050,695,1474,249,4465,698,1391,399,2841,399,2841,end
67,4408,244,998,1048,738,1468,236,4466,737,1388,339,2841,339,2841,end
68,4209,245,995,1046,698,1464,199,4166,737,1388,349,2841,349,2841,end
